iter	Passed	Remaining
0	201	201265
1	203	101474
2	205	68358
3	207	51691
4	209	41653
5	211	34959
6	212	30206
7	217	26988
8	220	24244
9	222	22001
10	223	20136
11	226	18609
12	231	17590
13	234	16490
14	235	15485
15	237	14614
16	239	13848
17	246	13436
18	248	12809
19	249	12234
20	251	11732
21	253	11258
22	258	10961
23	260	10575
24	261	10206
25	263	9871
26	265	9555
27	266	9266
28	272	9126
29	275	8911
30	277	8672
31	278	8430
32	279	8204
33	284	8083
34	286	7901
35	288	7713
36	289	7540
37	291	7373
38	292	7218
39	297	7134
40	299	6997
41	300	6856
42	302	6725
43	303	6602
44	305	6482
45	309	6424
46	311	6321
47	313	6214
48	314	6111
49	316	6012
50	318	5919
51	322	5874
52	324	5800
53	326	5714
54	327	5634
55	330	5564
56	331	5486
57	335	5456
58	337	5386
59	339	5319
60	340	5248
61	342	5178
62	343	5113
63	345	5053
64	350	5042
65	352	4988
66	354	4932
67	356	4881
68	358	4835
69	359	4780
70	364	4765
71	365	4716
72	367	4665
73	368	4616
74	371	4581
75	376	4582
76	378	4538
77	380	4494
78	381	4452
79	383	4411
80	386	4382
81	396	4434
82	399	4408
83	401	4374
84	406	4376
85	411	4370
86	414	4346
87	421	4373
88	423	4337
89	425	4302
90	427	4268
91	435	4295
92	440	4294
93	443	4270
94	448	4270
95	450	4243
96	452	4215
97	455	4188
98	457	4160
99	462	4160
100	464	4138
101	466	4109
102	468	4083
103	470	4053
104	472	4023
105	476	4021
106	478	3994
107	480	3965
108	481	3939
109	483	3913
110	485	3886
111	490	3885
112	492	3866
113	494	3841
114	495	3816
115	497	3791
116	498	3764
117	500	3738
118	503	3725
119	505	3704
120	507	3683
121	508	3662
122	510	3641
123	514	3638
124	517	3620
125	519	3600
126	520	3578
127	522	3558
128	524	3538
129	525	3517
130	530	3516
131	532	3500
132	534	3481
133	536	3470
134	542	3478
135	545	3463
136	546	3443
137	548	3425
138	550	3407
139	559	3437
140	561	3420
141	562	3399
142	565	3387
143	570	3390
144	572	3378
145	575	3366
146	577	3349
147	579	3333
148	584	3340
149	588	3332
150	590	3317
151	591	3301
152	594	3288
153	599	3291
154	600	3276
155	603	3262
156	605	3253
157	607	3239
158	618	3270
159	620	3257
160	621	3239
161	623	3224
162	625	3212
163	627	3198
164	629	3184
165	631	3170
166	632	3155
167	634	3141
168	640	3147
169	642	3136
170	644	3122
171	645	3108
172	647	3093
173	651	3091
174	653	3080
175	655	3067
176	656	3054
177	659	3044
178	661	3035
179	666	3036
180	668	3026
181	670	3013
182	674	3012
183	677	3003
184	679	2994
185	683	2989
186	685	2979
187	690	2981
188	692	2972
189	694	2961
190	696	2949
191	697	2936
192	699	2924
193	704	2928
194	706	2917
195	709	2912
196	711	2900
197	713	2888
198	718	2893
199	721	2884
200	723	2874
201	724	2863
202	726	2854
203	731	2853
204	733	2845
205	735	2833
206	736	2821
207	740	2820
208	752	2846
209	753	2836
210	755	2825
211	762	2835
212	764	2825
213	766	2813
214	770	2813
215	782	2839
216	785	2833
217	792	2841
218	794	2834
219	797	2827
220	809	2851
221	811	2843
222	814	2836
223	821	2845
224	823	2836
225	826	2828
226	828	2821
227	831	2815
228	835	2811
229	837	2804
230	841	2800
231	844	2795
232	848	2792
233	853	2792
234	855	2784
235	857	2774
236	858	2764
237	860	2754
238	862	2744
239	863	2734
240	865	2726
241	867	2718
242	870	2710
243	872	2704
244	878	2705
245	880	2699
246	884	2696
247	887	2690
248	889	2681
249	891	2675
250	894	2668
251	898	2666
252	907	2678
253	909	2672
254	913	2670
255	918	2668
256	920	2661
257	922	2652
258	923	2642
259	925	2634
260	928	2628
261	930	2620
262	931	2611
263	933	2602
264	935	2594
265	939	2593
266	942	2586
267	944	2580
268	947	2573
269	948	2565
270	950	2557
271	956	2558
272	958	2551
273	960	2544
274	962	2536
275	964	2529
276	969	2531
277	972	2524
278	973	2516
279	975	2508
280	977	2500
281	982	2501
282	984	2494
283	986	2486
284	987	2477
285	988	2468
286	990	2460
287	991	2452
288	993	2443
289	996	2440
290	998	2433
291	1002	2431
292	1004	2423
293	1010	2425
294	1011	2417
295	1013	2410
296	1014	2402
297	1016	2395
298	1018	2387
299	1022	2385
300	1024	2378
301	1026	2371
302	1028	2364
303	1029	2357
304	1031	2350
305	1032	2342
306	1037	2341
307	1038	2334
308	1040	2326
309	1042	2319
310	1045	2316
311	1051	2318
312	1052	2311
313	1054	2303
314	1055	2295
315	1057	2289
316	1059	2282
317	1061	2275
318	1067	2278
319	1069	2272
320	1071	2267
321	1074	2263
322	1079	2262
323	1082	2257
324	1084	2252
325	1086	2247
326	1088	2240
327	1094	2242
328	1096	2236
329	1099	2232
330	1101	2225
331	1102	2218
332	1104	2211
333	1107	2208
334	1109	2201
335	1110	2194
336	1112	2188
337	1113	2181
338	1118	2181
339	1121	2176
340	1122	2169
341	1123	2162
342	1125	2155
343	1126	2148
344	1127	2141
345	1132	2140
346	1134	2134
347	1135	2127
348	1137	2121
349	1138	2114
350	1140	2108
351	1141	2102
352	1146	2101
353	1148	2095
354	1149	2089
355	1151	2082
356	1153	2076
357	1154	2070
358	1156	2064
359	1162	2067
360	1165	2063
361	1167	2056
362	1168	2050
363	1170	2045
364	1173	2041
365	1175	2036
366	1177	2030
367	1178	2024
368	1180	2018
369	1181	2012
370	1186	2011
371	1188	2006
372	1189	2000
373	1191	1993
374	1192	1987
375	1194	1981
376	1195	1975
377	1200	1974
378	1202	1969
379	1203	1964
380	1205	1958
381	1206	1951
382	1208	1946
383	1210	1941
384	1215	1941
385	1217	1936
386	1218	1930
387	1220	1925
388	1221	1919
389	1223	1913
390	1224	1907
391	1229	1906
392	1231	1901
393	1234	1898
394	1236	1894
395	1238	1888
396	1242	1887
397	1243	1881
398	1245	1876
399	1247	1871
400	1251	1870
401	1256	1868
402	1258	1865
403	1260	1860
404	1262	1855
405	1264	1850
406	1267	1846
407	1270	1842
408	1272	1838
409	1274	1833
410	1278	1832
411	1281	1828
412	1282	1823
413	1284	1817
414	1285	1812
415	1287	1807
416	1288	1801
417	1293	1801
418	1295	1796
419	1296	1790
420	1298	1785
421	1299	1779
422	1300	1774
423	1302	1769
424	1306	1767
425	1308	1762
426	1309	1757
427	1311	1752
428	1312	1746
429	1313	1741
430	1315	1736
431	1316	1731
432	1323	1733
433	1325	1727
434	1326	1722
435	1327	1717
436	1329	1712
437	1331	1707
438	1333	1703
439	1334	1698
440	1335	1693
441	1337	1688
442	1338	1683
443	1339	1677
444	1341	1673
445	1346	1672
446	1348	1667
447	1349	1663
448	1351	1658
449	1352	1653
450	1354	1649
451	1355	1643
452	1356	1638
453	1358	1633
454	1359	1628
455	1361	1623
456	1362	1618
457	1364	1614
458	1366	1610
459	1368	1606
460	1369	1601
461	1370	1596
462	1371	1591
463	1373	1586
464	1380	1587
465	1382	1583
466	1386	1582
467	1395	1585
468	1397	1582
469	1400	1578
470	1436	1613
471	1443	1614
472	1471	1639
473	1478	1641
474	1480	1636
475	1491	1642
476	1494	1638
477	1505	1643
478	1506	1639
479	1508	1634
480	1512	1632
481	1524	1637
482	1526	1634
483	1528	1629
484	1532	1627
485	1534	1622
486	1549	1631
487	1551	1627
488	1553	1622
489	1555	1619
490	1559	1616
491	1590	1642
492	1593	1638
493	1598	1637
494	1603	1635
495	1611	1637
496	1619	1639
497	1624	1637
498	1627	1633
499	1638	1638
500	1639	1633
501	1641	1628
502	1642	1622
503	1645	1619
504	1649	1616
505	1650	1611
506	1651	1606
507	1653	1601
508	1654	1595
509	1655	1590
510	1656	1585
511	1662	1584
512	1664	1580
513	1665	1575
514	1667	1570
515	1668	1564
516	1669	1559
517	1670	1554
518	1676	1553
519	1677	1548
520	1678	1543
521	1680	1538
522	1681	1533
523	1682	1528
524	1683	1523
525	1689	1522
526	1691	1518
527	1692	1513
528	1694	1508
529	1695	1503
530	1696	1498
531	1698	1494
532	1700	1490
533	1702	1486
534	1704	1481
535	1706	1477
536	1708	1472
537	1718	1475
538	1720	1471
539	1768	1506
540	1773	1505
541	1776	1500
542	1778	1496
543	1780	1492
544	1782	1488
545	1785	1484
546	1845	1528
547	1848	1525
548	1852	1521
549	1854	1517
550	1856	1512
551	1859	1508
552	1864	1507
553	1866	1502
554	1868	1498
555	1871	1494
556	1873	1490
557	1877	1486
558	1879	1482
559	1882	1478
560	1885	1475
561	1887	1471
562	1897	1472
563	1901	1470
564	1904	1466
565	1907	1462
566	1913	1461
567	1915	1456
568	1921	1455
569	1923	1450
570	1927	1448
571	1930	1444
572	1935	1442
573	1937	1438
574	1940	1434
575	1942	1429
576	1946	1427
577	1949	1423
578	1952	1419
579	1954	1415
580	1984	1430
581	1987	1427
582	1990	1423
583	1995	1421
584	1997	1416
585	1999	1412
586	2001	1408
587	2003	1403
588	2008	1401
589	2012	1398
590	2014	1394
591	2015	1389
592	2017	1384
593	2018	1379
594	2023	1377
595	2025	1372
596	2027	1368
597	2028	1363
598	2030	1359
599	2031	1354
600	2033	1349
601	2035	1345
602	2036	1340
603	2037	1335
604	2038	1331
605	2040	1326
606	2041	1321
607	2042	1317
608	2044	1312
609	2048	1309
610	2050	1305
611	2051	1300
612	2052	1295
613	2053	1291
614	2055	1286
615	2056	1282
616	2057	1277
617	2063	1275
618	2066	1271
619	2068	1267
620	2070	1263
621	2071	1258
622	2076	1256
623	2078	1252
624	2079	1247
625	2081	1243
626	2082	1238
627	2084	1234
628	2085	1230
629	2091	1228
630	2093	1224
631	2094	1219
632	2096	1215
633	2097	1210
634	2098	1205
635	2099	1201
636	2108	1201
637	2112	1198
638	2115	1194
639	2117	1190
640	2118	1186
641	2120	1182
642	2121	1178
643	2123	1173
644	2124	1169
645	2130	1167
646	2131	1163
647	2133	1159
648	2135	1154
649	2136	1150
650	2138	1146
651	2147	1146
652	2148	1141
653	2151	1138
654	2154	1134
655	2155	1130
656	2156	1125
657	2157	1121
658	2159	1117
659	2160	1112
660	2161	1108
661	2165	1105
662	2167	1101
663	2168	1097
664	2169	1093
665	2171	1088
666	2174	1085
667	2175	1081
668	2179	1078
669	2181	1074
670	2182	1070
671	2183	1065
672	2184	1061
673	2186	1057
674	2187	1053
675	2188	1049
676	2193	1046
677	2194	1042
678	2195	1038
679	2196	1033
680	2197	1029
681	2199	1025
682	2200	1021
683	2201	1017
684	2202	1012
685	2203	1008
686	2207	1005
687	2208	1001
688	2209	997
689	2211	993
690	2212	989
691	2213	985
692	2214	981
693	2216	977
694	2217	973
695	2222	970
696	2224	967
697	2226	963
698	2227	959
699	2228	955
700	2229	951
701	2230	946
702	2231	942
703	2235	939
704	2236	936
705	2238	932
706	2239	928
707	2241	924
708	2242	920
709	2243	916
710	2244	912
711	2245	908
712	2248	905
713	2251	901
714	2252	897
715	2254	894
716	2256	890
717	2257	886
718	2258	882
719	2259	878
720	2263	876
721	2265	872
722	2266	868
723	2269	865
724	2279	864
725	2287	863
726	2288	859
727	2294	857
728	2296	853
729	2298	849
730	2299	846
731	2300	842
732	2301	838
733	2302	834
734	2303	830
735	2309	828
736	2310	824
737	2311	820
738	2312	816
739	2313	813
740	2315	809
741	2319	806
742	2322	803
743	2323	799
744	2324	795
745	2326	791
746	2336	791
747	2340	788
748	2341	784
749	2347	782
750	2349	778
751	2350	775
752	2351	771
753	2353	767
754	2354	764
755	2355	760
756	2361	758
757	2363	754
758	2364	750
759	2365	746
760	2366	743
761	2367	739
762	2368	735
763	2369	732
764	2379	731
765	2381	727
766	2382	723
767	2384	720
768	2391	718
769	2393	714
770	2395	711
771	2397	708
772	2412	708
773	2421	706
774	2422	703
775	2423	699
776	2424	695
777	2426	692
778	2428	688
779	2430	685
780	2432	682
781	2433	678
782	2434	674
783	2435	671
784	2436	667
785	2440	664
786	2444	661
787	2446	658
788	2448	654
789	2449	651
790	2450	647
791	2451	643
792	2452	640
793	2453	636
794	2459	634
795	2460	630
796	2461	627
797	2463	623
798	2466	620
799	2468	617
800	2471	613
801	2473	610
802	2474	607
803	2475	603
804	2476	599
805	2483	597
806	2486	594
807	2488	591
808	2489	587
809	2490	584
810	2496	581
811	2497	578
812	2498	574
813	2499	571
814	2500	567
815	2501	564
816	2503	560
817	2504	557
818	2507	554
819	2509	550
820	2510	547
821	2512	544
822	2513	540
823	2514	537
824	2515	533
825	2516	530
826	2517	526
827	2521	523
828	2523	520
829	2525	517
830	2529	514
831	2538	512
832	2539	509
833	2541	505
834	2542	502
835	2543	498
836	2544	495
837	2546	492
838	2550	489
839	2552	486
840	2554	482
841	2555	479
842	2556	476
843	2558	472
844	2559	469
845	2560	466
846	2562	462
847	2564	459
848	2567	456
849	2570	453
850	2575	450
851	2576	447
852	2578	444
853	2580	441
854	2591	439
855	2593	436
856	2594	433
857	2602	430
858	2604	427
859	2606	424
860	2608	421
861	2617	419
862	2620	416
863	2634	414
864	2636	411
865	2639	408
866	2647	406
867	2665	405
868	2667	402
869	2670	399
870	2676	396
871	2681	393
872	2690	391
873	2695	388
874	2698	385
875	2703	382
876	2706	379
877	2734	379
878	2744	377
879	2750	375
880	2753	371
881	2756	368
882	2759	365
883	2760	362
884	2766	359
885	2768	356
886	2769	352
887	2771	349
888	2772	346
889	2773	342
890	2775	339
891	2782	336
892	2784	333
893	2788	330
894	2794	327
895	2796	324
896	2797	321
897	2799	318
898	2801	314
899	2807	311
900	2809	308
901	2810	305
902	2812	302
903	2814	298
904	2815	295
905	2821	292
906	2823	289
907	2825	286
908	2826	282
909	2828	279
910	2830	276
911	2834	273
912	2836	270
913	2837	267
914	2839	263
915	2840	260
916	2843	257
917	2844	254
918	2849	251
919	2851	247
920	2853	244
921	2855	241
922	2856	238
923	2857	235
924	2858	231
925	2861	228
926	2863	225
927	2864	222
928	2866	219
929	2867	215
930	2870	212
931	2877	209
932	2879	206
933	2880	203
934	2882	200
935	2883	197
936	2884	193
937	2888	190
938	2890	187
939	2891	184
940	2892	181
941	2893	178
942	2894	174
943	2895	171
944	2896	168
945	2897	165
946	2898	162
947	2901	159
948	2903	156
949	2905	152
950	2907	149
951	2913	146
952	2919	143
953	2921	140
954	2923	137
955	2925	134
956	2926	131
957	2928	128
958	2930	125
959	2932	122
960	2934	119
961	2936	116
962	2938	112
963	2943	109
964	2946	106
965	2948	103
966	2949	100
967	2951	97
968	2953	94
969	2955	91
970	2957	88
971	2959	85
972	2960	82
973	2961	79
974	2962	75
975	2963	72
976	2964	69
977	2968	66
978	2972	63
979	2973	60
980	2974	57
981	2975	54
982	2976	51
983	2977	48
984	2981	45
985	2983	42
986	2985	39
987	2987	36
988	2988	33
989	2989	30
990	2990	27
991	2991	24
992	2993	21
993	2995	18
994	2996	15
995	2997	12
996	2997	9
997	2999	6
998	3000	3
999	3001	0
